lon,lat,q
-127.8175,47.8527,239.0
-127.8227,47.8522,233.0
-127.8307,47.8545,241.0
-127.8433,47.8562,252.0
-127.8717,47.8593,210.0
-127.8893,47.8617,257.0
-127.7408,47.8403,710.0
-127.899,47.863,217.0
-127.9058,47.8633,182.0
-127.7493,47.8417,292.0
-127.7647,47.8435,234.0
-127.7723,47.8443,209.0
-127.7768,47.845,201.0
-127.785,47.8473,200.0
-127.7953,47.8483,197.0
-127.6333,47.8492,1659.0
-127.7068,47.8637,309.0
-127.71,47.8642,410.0
-127.7153,47.8652,935.0
-127.7195,47.866,1109.0
-127.7215,47.8675,311.0
-127.7278,47.8687,226.0
-127.7358,47.87,283.0
-127.7423,47.8698,281.0
-127.6413,47.8508,346.0
-127.6477,47.8523,425.0
-127.6577,47.8542,216.0
-127.6658,47.8558,200.0
-127.6738,47.8583,191.0
-127.695,47.8617,191.0
-127.7015,47.8625,227.0
-127.6965,47.8618,217.0
-127.728,47.868,211.0
-127.7345,47.8697,225.0
-127.7372,47.853,233.0
-127.733,47.852,285.0
-127.7278,47.8505,283.0
-127.7228,47.8495,451.0
-127.72,47.8497,712.0
-127.7178,47.8497,487.0
-127.7162,47.849,433.0
-127.7145,47.8475,364.0
-127.7003,47.8623,214.0
-127.7112,47.8473,253.0
-127.7032,47.8475,206.0
-127.704,47.863,244.0
