lat,lon,q,dist_min_km,dist_gem_km,dist_pb_km
-61.89,-49.63,76.0,346.9675231620638,347.0457719265432,346.9675231620638
-61.8517,-39.2733,83.5,191.53515689669754,191.5456636772927,191.53515689669754
-61.8483,-39.4417,77.5,196.22832053541174,196.23371174945007,196.22832053541174
-61.8467,-39.3267,76.0,192.13814547240412,192.14695423270655,192.13814547240412
-61.8433,-39.485,83.9,196.50392661246156,196.50792268472858,196.50392661246156
-61.8433,-39.3867,75.6,193.31640173664422,193.32334552221897,193.31640173664422
-61.835,-39.605,61.3,198.52226684872963,198.52250399035336,198.52226684872963
-61.8317,-39.685,81.8,200.52663195984687,200.52663195984687,200.52663195984687
-61.83,-39.5083,84.6,194.258652259571,194.26169246882793,194.258652259571
-61.8267,-39.7417,83.2,201.58745275876896,201.58745275876896,201.58745275876896
-61.8267,-39.56,77.8,195.19074136366962,195.1921674583119,195.19074136366962
-61.825,-39.5267,75.8,193.72751152849932,193.72990332773546,193.72751152849932
-61.8059,-49.3737,105.0,344.9050356514701,344.9735536502285,344.9050356514701
-61.8059,-49.3737,105.0,344.9050356514701,344.9735536502285,344.9050356514701
-61.8,-39.955,81.3,205.67351628084998,205.67351628084998,205.67351628084998
-61.7983,-42.9283,73.0,270.2733483763463,270.2733483763463,270.3047904673172
-61.7933,-40.2117,75.0,219.15878414734917,219.15878414734917,219.15878414734917
-61.7933,-40.1833,77.7,217.37789973339093,217.37789973339093,217.37789973339093
-61.7917,-40.315,77.0,214.54253888525477,214.5621310971121,214.54253888525477
-61.7917,-40.2383,76.1,218.38633209620906,218.40504037296125,218.38633209620906
-61.7917,-40.155,75.8,215.31972110652154,215.31972110652154,215.31972110652154
-61.7917,-39.995,78.8,206.07889531646381,206.07889531646381,206.07889531646381
-61.7883,-40.3117,69.2,213.99296056922637,214.01247296448153,213.99296056922637
-61.7883,-40.1217,78.3,212.63184548188818,212.63184548188818,212.63184548188818
-61.7883,-40.08,75.3,210.16825058606273,210.16825058606273,210.16825058606273
-61.785,-40.0367,77.3,207.019077266702,207.019077266702,207.019077266702
-61.76,-59.69,64.0,129.69648048736596,129.69648048736596,129.70591143435834
-61.74,-50.26,65.0,285.79993289857947,285.8777052609616,285.79993289857947
-61.6699,-49.1254,115.0,336.55199011610546,336.6077917215838,336.55199011610546
-61.6699,-49.1254,115.0,336.55199011610546,336.6077917215838,336.55199011610546
-61.6,80.5933,44.0,3360.869278093989,3360.888922340983,3360.869278093989
-61.5317,-73.2817,51.9,1110.9549281171078,1121.331472742555,1110.9549281171078
-61.46167,170.18167,59.0,255.65080211855957,255.65080211855957,255.67274156849626
-61.07167,170.10333,95.0,337.4234603619458,337.4234603619458,337.44652368880617
-60.99,80.31,122.0,3256.347875671811,3256.3890026549648,3256.347875671811
-60.96667,170.28333,89.0,366.4710305720162,366.4710305720162,366.4938499861349
-60.93,40.01,53.0,2111.6215633856823,2111.6215633856823,2111.6786497871813
-60.89,104.05,63.0,2301.610368213394,2301.610368213394,2301.64262559944
-60.74166667,141.1266667,116.4,1021.446859521612,1021.458727872308,1021.446859521612
-60.61,-100.192,92.0,2377.926415976396,2377.926415976396,2377.9755740391424
-60.61,-100.191,92.1,2378.0222467912417,2378.0222467912417,2378.071402873031
-60.5833,-3.6667,48.6,698.2225188938569,698.2921789847029,698.2225188938569
-60.53,-61.3,111.0,203.53057971063538,203.53057971063538,297.69691387719985
-60.2533,-120.171,21.8,912.3472074141689,912.3861914505045,912.3472074141689
-60.18,-55.5,101.0,121.52681016160716,153.0738169282606,121.52681016160716
-60.1667,-142.56,62.0,710.9423770030642,710.9423770030642,710.9807250462645
-59.85,64.81,68.0,3637.890304238768,3637.890304238768,3637.903547173808
-59.8,-13.4833,30.1,324.9109919236707,324.95434257936483,324.9109919236707
-59.69,-38.9,103.0,235.0831914604142,235.0831914604142,235.0831914604142
-59.6,85.8533,67.0,2674.0334741635074,2674.0334741635074,2674.072995988243
-59.5,-78.6,20.0,1012.2945926347223,1030.6544990150176,1012.2945926347223
-59.5,-78.5983,20.1,1012.1779644014224,1030.5467471190643,1012.1779644014224
-59.483,-64.783,134.0,277.40526931629915,277.42610698227844,277.40526931629915
-59.4817,-64.7817,134.0,277.0858813828638,277.10671685995754,277.0858813828638
-59.2333,-19.7333,63.6,159.70682224998743,159.70682224998743,159.7851113373711
